id,name,site,created_date,comment
1,OSU Events,https://events.oregonstate.edu/,1723702472,
2,INTO OSU Events,https://intoosu.oregonstate.edu/events,1723702473,
3,International Online Services,https://ipconnect.oregonstate.edu/,1723702474,
4,Online ID Card Service,https://mycard.oregonstate.edu/,1723702475,
5,OSU Starrez Resident Portal,https://oregonstate.starrezhousing.com/,1723702476,
6,OSU Canvas,https://canvas.oregonstate.edu/,1723702477,
7,OSU Dorm Rates,https://uhds.oregonstate.edu/housing/room-dining-rates-common-charges,1723702478,
8,OSU EmpCenter,https://osu-prod.wta-us8.wfs.cloud/workforce/SSO.do,1723702479,
9,WhentoWork,https://whentowork.com/logins.htm,1723702480,
10,My OSU,https://my.oregonstate.edu/,1723702481,
11,Beaver Hub,https://beaverhub.oregonstate.edu/,1723702482,Replacement for My OSU
12,Beaver Print,https://beaverprint.oregonstate.edu/,1723702483,
13,Class Registration,https://prodapps.isadm.oregonstate.edu/StudentRegistrationSsb/ssb/registration/registration,1723702484,
14,OSU Library,https://library.oregonstate.edu/,1723702485,
15,OSU Student Employment,https://hr.oregonstate.edu/student-employment,1723702486,
16,OSU Health Portal,https://myhealth.oregonstate.edu/,1723702487,
17,Intouch Pacificsource,https://intouch.pacificsource.com/,1723702488,
18,OSU Tuition and Fee,https://fa.oregonstate.edu/budget/tuition-fees/tuition-fee-detail,1723702489,
19,OSU Mandatory Fee with Tuition,https://fa.oregonstate.edu/faq/what-are-different-types-mandatory-fees,1723702490,
20,OSU Jobs,https://jobs.oregonstate.edu/,1723702491,
21,OSU Direct Deposit,https://prodapps.isadm.oregonstate.edu/BannerGeneralSsb/ssb/directDeposit#/directDepositListing,1725000748,
22,OSU Employee Dashboard,https://prodapps.isadm.oregonstate.edu/EmployeeSelfService/ssb/hrDashboard#/hrDashboard,1725046729,
23,OSU MyBill,https://mybill.oregonstate.edu/,1725423289,
